Turn 1, Prize = Life 30 min
Turn 7901, Prize = Brush 3X
Turn 7902, Prize = Coin 750
Turn 7903, Prize = Brush 1X
Turn 7904, Prize = Hammer 1X
Turn 7905, Prize = Gem 35
Turn 7906, Prize = Hammer 1X
Turn 7907, Prize = Brush 3X
Turn 7908, Prize = Hammer 3X
Turn 7909, Prize = Hammer 1X
Turn 7910, Prize = Life 30 min
Turn 7911, Prize = Gem 75
Turn 7912, Prize = Life 30 min
Turn 7913, Prize = Hammer 1X
Turn 7914, Prize = Brush 1X
Turn 7915, Prize = Life 30 min
Turn 7916, Prize = Life 30 min
Turn 7917, Prize = Coin 750
Turn 7918, Prize = Hammer 1X
Turn 7919, Prize = Hammer 1X
Turn 7920, Prize = Brush 1X
Turn 7921, Prize = Brush 1X
Turn 7922, Prize = Brush 3X
Turn 7923, Prize = Gem 75
Turn 7924, Prize = Life 30 min
Turn 7925, Prize = Hammer 1X
Turn 7926, Prize = Brush 1X
Turn 7927, Prize = Brush 1X
Turn 7928, Prize = Hammer 1X
Turn 7929, Prize = Life 30 min
Turn 7930, Prize = Hammer 1X
Turn 7931, Prize = Gem 35
Turn 7932, Prize = Gem 35
Turn 7933, Prize = Coin 750
Turn 7934, Prize = Hammer 1X
Turn 7935, Prize = Life 30 min
Turn 7936, Prize = Life 30 min
Turn 7937, Prize = Life 30 min
Turn 7938, Prize = Gem 35
Turn 7939, Prize = Gem 35
Turn 7940, Prize = Hammer 1X
Turn 7941, Prize = Hammer 1X
Turn 7942, Prize = Life 30 min
Turn 7943, Prize = Gem 35
Turn 7944, Prize = Brush 3X
Turn 7945, Prize = Brush 1X
Turn 7946, Prize = Life 30 min
Turn 7947, Prize = Life 30 min
Turn 7948, Prize = Brush 1X
Turn 7949, Prize = Coin 750
Turn 7950, Prize = Brush 1X
Turn 7951, Prize = Brush 1X
Turn 7952, Prize = Hammer 3X
Turn 7953, Prize = Brush 3X
Turn 7954, Prize = Hammer 3X
Turn 7955, Prize = Hammer 1X
Turn 7956, Prize = Brush 1X
Turn 7957, Prize = Brush 1X
Turn 7958, Prize = Brush 1X
Turn 7959, Prize = Brush 1X
Turn 7960, Prize = Hammer 1X
Turn 7961, Prize = Hammer 1X
Turn 7962, Prize = Brush 1X
Turn 7963, Prize = Gem 35
Turn 7964, Prize = Gem 75
Turn 7965, Prize = Brush 3X
Turn 7966, Prize = Gem 75
Turn 7967, Prize = Hammer 3X
Turn 7968, Prize = Gem 35
Turn 7969, Prize = Coin 750
Turn 7970, Prize = Hammer 1X
Turn 7971, Prize = Coin 750
Turn 7972, Prize = Life 30 min
Turn 7973, Prize = Brush 1X
Turn 7974, Prize = Hammer 1X
Turn 7975, Prize = Hammer 3X
Turn 7976, Prize = Gem 35
Turn 7977, Prize = Hammer 3X
Turn 7978, Prize = Hammer 1X
Turn 7979, Prize = Hammer 1X
Turn 7980, Prize = Hammer 3X
Turn 7981, Prize = Hammer 3X
Turn 7982, Prize = Brush 1X
Turn 7983, Prize = Hammer 3X
Turn 7984, Prize = Gem 35
Turn 7985, Prize = Brush 3X
Turn 7986, Prize = Life 30 min
Turn 7987, Prize = Life 30 min
Turn 7988, Prize = Hammer 1X
Turn 7989, Prize = Hammer 1X
Turn 7990, Prize = Brush 1X
Turn 7991, Prize = Brush 3X
Turn 7992, Prize = Hammer 1X
Turn 7993, Prize = Hammer 1X
Turn 7994, Prize = Brush 1X
Turn 7995, Prize = Brush 3X
Turn 7996, Prize = Hammer 1X
Turn 7997, Prize = Gem 75
Turn 7998, Prize = Hammer 3X
Turn 7999, Prize = Brush 1X
Turn 8000, Prize = Life 30 min
Turn 8001, Prize = Gem 75
Turn 8002, Prize = Gem 75
Turn 8003, Prize = Hammer 1X
Turn 8004, Prize = Brush 1X
Turn 8005, Prize = Hammer 1X
Turn 8006, Prize = Brush 1X
Turn 8007, Prize = Life 30 min
Turn 8008, Prize = Hammer 1X
Turn 8009, Prize = Hammer 1X
Turn 8010, Prize = Life 30 min
Turn 8011, Prize = Hammer 3X
Turn 8012, Prize = Hammer 3X
Turn 8013, Prize = Life 30 min
Turn 8014, Prize = Hammer 1X
Turn 8015, Prize = Brush 1X
Turn 8016, Prize = Hammer 1X
Turn 8017, Prize = Brush 1X
Turn 8018, Prize = Hammer 3X
Turn 8019, Prize = Hammer 3X
Turn 8020, Prize = Hammer 1X
Turn 8021, Prize = Hammer 1X
Turn 8022, Prize = Brush 3X
Turn 8023, Prize = Life 30 min
Turn 8024, Prize = Life 30 min
Turn 8025, Prize = Life 30 min
Turn 8026, Prize = Life 30 min
Turn 8027, Prize = Brush 1X
Turn 8028, Prize = Life 30 min
Turn 8029, Prize = Brush 3X
Turn 8030, Prize = Brush 3X
Turn 8031, Prize = Brush 3X
Turn 8032, Prize = Hammer 1X
Turn 8033, Prize = Gem 75
Turn 8034, Prize = Hammer 1X
Turn 8035, Prize = Life 30 min
Turn 8036, Prize = Hammer 3X
Turn 8037, Prize = Gem 35
Turn 8038, Prize = Hammer 1X
Turn 8039, Prize = Hammer 1X
Turn 8040, Prize = Hammer 3X
Turn 8041, Prize = Hammer 3X
Turn 8042, Prize = Hammer 1X
Turn 8043, Prize = Brush 3X
Turn 8044, Prize = Hammer 1X
Turn 8045, Prize = Hammer 1X
Turn 8046, Prize = Brush 3X
Turn 8047, Prize = Hammer 1X
Turn 8048, Prize = Brush 1X
Turn 8049, Prize = Gem 75
Turn 8050, Prize = Life 30 min
Turn 8051, Prize = Gem 35
Turn 8052, Prize = Hammer 1X
Turn 8053, Prize = Brush 1X
Turn 8054, Prize = Brush 1X
Turn 8055, Prize = Brush 1X
Turn 8056, Prize = Brush 1X
Turn 8057, Prize = Brush 1X
Turn 8058, Prize = Brush 1X
Turn 8059, Prize = Hammer 1X
Turn 8060, Prize = Hammer 3X
Turn 8061, Prize = Gem 35
Turn 8062, Prize = Brush 1X
Turn 8063, Prize = Life 30 min
Turn 8064, Prize = Life 30 min
Turn 8065, Prize = Gem 75
Turn 8066, Prize = Life 30 min
Turn 8067, Prize = Brush 3X
Turn 8068, Prize = Brush 1X
Turn 8069, Prize = Hammer 3X
Turn 8070, Prize = Life 30 min
Turn 8071, Prize = Coin 750
Turn 8072, Prize = Hammer 1X
Turn 8073, Prize = Hammer 1X
Turn 8074, Prize = Brush 3X
Turn 8075, Prize = Life 30 min
Turn 8076, Prize = Brush 3X
Turn 8077, Prize = Gem 75
Turn 8078, Prize = Gem 75
Turn 8079, Prize = Hammer 3X
Turn 8080, Prize = Brush 3X
Turn 8081, Prize = Brush 1X
Turn 8082, Prize = Gem 35
Turn 8083, Prize = Brush 1X
Turn 8084, Prize = Hammer 1X
Turn 8085, Prize = Gem 35
Turn 8086, Prize = Hammer 1X
Turn 8087, Prize = Brush 1X
Turn 8088, Prize = Gem 35
Turn 8089, Prize = Life 30 min
Turn 8090, Prize = Life 30 min
Turn 8091, Prize = Life 30 min
Turn 8092, Prize = Hammer 1X
Turn 8093, Prize = Hammer 3X
Turn 8094, Prize = Hammer 1X
Turn 8095, Prize = Gem 35
Turn 8096, Prize = Life 30 min
Turn 8097, Prize = Gem 35
Turn 8098, Prize = Coin 750
Turn 8099, Prize = Life 30 min
Turn 8100, Prize = Coin 750
Turn 8101, Prize = Hammer 1X
Turn 8102, Prize = Life 30 min
Turn 8103, Prize = Hammer 3X
Turn 8104, Prize = Hammer 1X
Turn 8105, Prize = Hammer 1X
Turn 8106, Prize = Brush 1X
Turn 8107, Prize = Hammer 1X
Turn 8108, Prize = Hammer 3X
Turn 8109, Prize = Gem 35
Turn 8110, Prize = Coin 750
Turn 8111, Prize = Gem 75
Turn 8112, Prize = Life 30 min
Turn 8113, Prize = Brush 3X
Turn 8114, Prize = Gem 75
Turn 8115, Prize = Brush 1X
Turn 8116, Prize = Life 30 min
Turn 8117, Prize = Life 30 min
Turn 8118, Prize = Coin 750
Turn 8119, Prize = Gem 35
Turn 8120, Prize = Coin 750
Turn 8121, Prize = Brush 1X
Turn 8122, Prize = Hammer 1X
Turn 8123, Prize = Brush 1X
Turn 8124, Prize = Hammer 3X
Turn 8125, Prize = Life 30 min
Turn 8126, Prize = Brush 1X
Turn 8127, Prize = Hammer 3X
Turn 8128, Prize = Hammer 3X
Turn 8129, Prize = Hammer 1X
Turn 8130, Prize = Gem 75
Turn 8131, Prize = Hammer 3X
Turn 8132, Prize = Brush 1X
Turn 8133, Prize = Gem 75
Turn 8134, Prize = Gem 35
Turn 8135, Prize = Brush 3X
Turn 8136, Prize = Hammer 1X
Turn 8137, Prize = Hammer 1X
Turn 8138, Prize = Life 30 min
Turn 8139, Prize = Hammer 1X
Turn 8140, Prize = Hammer 1X
Turn 8141, Prize = Gem 35
Turn 8142, Prize = Hammer 3X
Turn 8143, Prize = Gem 35
Turn 8144, Prize = Brush 1X
Turn 8145, Prize = Brush 1X
Turn 8146, Prize = Brush 1X
Turn 8147, Prize = Coin 750
Turn 8148, Prize = Gem 35
Turn 8149, Prize = Brush 1X
Turn 8150, Prize = Life 30 min
Turn 8151, Prize = Hammer 1X
Turn 8152, Prize = Hammer 3X
Turn 8153, Prize = Life 30 min
Turn 8154, Prize = Hammer 1X
Turn 8155, Prize = Brush 1X
Turn 8156, Prize = Hammer 3X
Turn 8157, Prize = Life 30 min
Turn 8158, Prize = Hammer 1X
Turn 8159, Prize = Brush 1X
Turn 8160, Prize = Brush 1X
Turn 8161, Prize = Hammer 1X
Turn 8162, Prize = Coin 750
Turn 8163, Prize = Life 30 min
Turn 8164, Prize = Brush 1X
Turn 8165, Prize = Gem 75
Turn 8166, Prize = Gem 35
Turn 8167, Prize = Hammer 3X
Turn 8168, Prize = Hammer 1X
Turn 8169, Prize = Brush 1X
Turn 8170, Prize = Brush 1X
Turn 8171, Prize = Life 30 min
Turn 8172, Prize = Hammer 1X
Turn 8173, Prize = Hammer 1X
Turn 8174, Prize = Hammer 1X
Turn 8175, Prize = Brush 3X
Turn 8176, Prize = Hammer 1X
Turn 8177, Prize = Brush 1X
Turn 8178, Prize = Gem 35
Turn 8179, Prize = Life 30 min
Turn 8180, Prize = Brush 1X
Turn 8181, Prize = Brush 1X
Turn 8182, Prize = Brush 1X
Turn 8183, Prize = Gem 35
Turn 8184, Prize = Brush 3X
Turn 8185, Prize = Life 30 min
Turn 8186, Prize = Brush 3X
Turn 8187, Prize = Brush 3X
Turn 8188, Prize = Gem 35
Turn 8189, Prize = Life 30 min
Turn 8190, Prize = Life 30 min
Turn 8191, Prize = Brush 3X
Turn 8192, Prize = Hammer 1X
Turn 8193, Prize = Coin 750
Turn 8194, Prize = Gem 75
Turn 8195, Prize = Life 30 min
Turn 8196, Prize = Gem 35
Turn 8197, Prize = Brush 3X
Turn 8198, Prize = Life 30 min
Turn 8199, Prize = Hammer 1X
Turn 8200, Prize = Gem 75
Turn 8201, Prize = Gem 35
Turn 8202, Prize = Coin 750
Turn 8203, Prize = Hammer 1X
Turn 8204, Prize = Hammer 1X
Turn 8205, Prize = Life 30 min
Turn 8206, Prize = Life 30 min
Turn 8207, Prize = Hammer 3X
Turn 8208, Prize = Hammer 1X
Turn 8209, Prize = Life 30 min
Turn 8210, Prize = Brush 3X
Turn 8211, Prize = Brush 3X
Turn 8212, Prize = Life 30 min
Turn 8213, Prize = Gem 35
Turn 8214, Prize = Brush 1X
Turn 8215, Prize = Hammer 3X
Turn 8216, Prize = Coin 750
Turn 8217, Prize = Brush 1X
Turn 8218, Prize = Gem 35
Turn 8219, Prize = Hammer 3X
Turn 8220, Prize = Brush 3X
Turn 8221, Prize = Hammer 1X
Turn 8222, Prize = Life 30 min
Turn 8223, Prize = Life 30 min
Turn 8224, Prize = Gem 35
Turn 8225, Prize = Brush 3X
Turn 8226, Prize = Hammer 1X
Turn 8227, Prize = Hammer 1X
Turn 8228, Prize = Gem 35
Turn 8229, Prize = Brush 1X
Turn 8230, Prize = Life 30 min
Turn 8231, Prize = Life 30 min
Turn 8232, Prize = Hammer 1X
Turn 8233, Prize = Brush 1X
Turn 8234, Prize = Gem 35
Turn 8235, Prize = Life 30 min
Turn 8236, Prize = Coin 750
Turn 8237, Prize = Hammer 1X
Turn 8238, Prize = Brush 1X
Turn 8239, Prize = Gem 35
Turn 8240, Prize = Life 30 min
Turn 8241, Prize = Life 30 min
Turn 8242, Prize = Life 30 min
Turn 8243, Prize = Hammer 3X
Turn 8244, Prize = Brush 1X
Turn 8245, Prize = Hammer 1X
Turn 8246, Prize = Hammer 1X
Turn 8247, Prize = Hammer 3X
Turn 8248, Prize = Brush 1X
Turn 8249, Prize = Life 30 min
Turn 8250, Prize = Coin 750
Turn 8251, Prize = Hammer 3X
Turn 8252, Prize = Gem 35
Turn 8253, Prize = Brush 3X
Turn 8254, Prize = Brush 1X
Turn 8255, Prize = Life 30 min
Turn 8256, Prize = Brush 3X
Turn 8257, Prize = Hammer 1X
Turn 8258, Prize = Brush 1X
Turn 8259, Prize = Brush 1X
Turn 8260, Prize = Hammer 1X
Turn 8261, Prize = Gem 35
Turn 8262, Prize = Life 30 min
Turn 8263, Prize = Brush 1X
Turn 8264, Prize = Brush 3X
Turn 8265, Prize = Gem 35
Turn 8266, Prize = Life 30 min
Turn 8267, Prize = Hammer 3X
Turn 8268, Prize = Hammer 1X
Turn 8269, Prize = Hammer 3X
Turn 8270, Prize = Life 30 min
Turn 8271, Prize = Life 30 min
Turn 8272, Prize = Brush 1X
Turn 8273, Prize = Brush 1X
Turn 8274, Prize = Brush 1X
Turn 8275, Prize = Hammer 1X
Turn 8276, Prize = Brush 1X
Turn 8277, Prize = Hammer 1X
Turn 8278, Prize = Gem 75
Turn 8279, Prize = Hammer 3X
Turn 8280, Prize = Gem 75
Turn 8281, Prize = Hammer 3X
Turn 8282, Prize = Hammer 1X
Turn 8283, Prize = Brush 1X
Turn 8284, Prize = Hammer 1X
Turn 8285, Prize = Brush 1X
Turn 8286, Prize = Life 30 min
Turn 8287, Prize = Brush 1X
Turn 8288, Prize = Hammer 1X
Turn 8289, Prize = Brush 1X
Turn 8290, Prize = Hammer 1X
Turn 8291, Prize = Hammer 3X
Turn 8292, Prize = Brush 1X
Turn 8293, Prize = Hammer 3X
Turn 8294, Prize = Hammer 1X
Turn 8295, Prize = Gem 35
Turn 8296, Prize = Brush 3X
Turn 8297, Prize = Life 30 min
Turn 8298, Prize = Hammer 3X
Turn 8299, Prize = Hammer 3X
Turn 8300, Prize = Hammer 1X
Turn 8301, Prize = Brush 3X
Turn 8302, Prize = Hammer 1X
Turn 8303, Prize = Brush 3X
Turn 8304, Prize = Hammer 1X
Turn 8305, Prize = Brush 1X
Turn 8306, Prize = Gem 35
Turn 8307, Prize = Brush 3X
Turn 8308, Prize = Brush 1X
Turn 8309, Prize = Life 30 min
Turn 8310, Prize = Life 30 min
Turn 8311, Prize = Hammer 3X
Turn 8312, Prize = Brush 1X
Turn 8313, Prize = Life 30 min
Turn 8314, Prize = Brush 1X
Turn 8315, Prize = Brush 3X
Turn 8316, Prize = Brush 1X
Turn 8317, Prize = Gem 75
Turn 8318, Prize = Hammer 1X
Turn 8319, Prize = Life 30 min
Turn 8320, Prize = Life 30 min
Turn 8321, Prize = Brush 3X
Turn 8322, Prize = Brush 3X
Turn 8323, Prize = Life 30 min
Turn 8324, Prize = Gem 75
Turn 8325, Prize = Hammer 3X
Turn 8326, Prize = Coin 750
Turn 8327, Prize = Life 30 min
Turn 8328, Prize = Life 30 min
Turn 8329, Prize = Gem 35
Turn 8330, Prize = Life 30 min
Turn 8331, Prize = Brush 3X
Turn 8332, Prize = Hammer 1X
Turn 8333, Prize = Life 30 min
Turn 8334, Prize = Hammer 3X
Turn 8335, Prize = Hammer 3X
Turn 8336, Prize = Life 30 min
Turn 8337, Prize = Gem 35
Turn 8338, Prize = Life 30 min
Turn 8339, Prize = Gem 35
Turn 8340, Prize = Hammer 1X
Turn 8341, Prize = Hammer 1X
Turn 8342, Prize = Gem 35
Turn 8343, Prize = Hammer 3X
Turn 8344, Prize = Hammer 1X
Turn 8345, Prize = Brush 3X
Turn 8346, Prize = Gem 35
Turn 8347, Prize = Brush 1X
Turn 8348, Prize = Life 30 min
Turn 8349, Prize = Hammer 1X
Turn 8350, Prize = Gem 35
Turn 8351, Prize = Brush 3X
Turn 8352, Prize = Life 30 min
Turn 8353, Prize = Gem 35
Turn 8354, Prize = Life 30 min
Turn 8355, Prize = Hammer 1X
Turn 8356, Prize = Hammer 1X
Turn 8357, Prize = Hammer 3X
Turn 8358, Prize = Brush 3X
Turn 8359, Prize = Life 30 min
Turn 8360, Prize = Hammer 3X
Turn 8361, Prize = Gem 35
Turn 8362, Prize = Life 30 min
Turn 8363, Prize = Life 30 min
Turn 8364, Prize = Life 30 min
Turn 8365, Prize = Life 30 min
Turn 8366, Prize = Life 30 min
Turn 8367, Prize = Gem 35
Turn 8368, Prize = Coin 750
Turn 8369, Prize = Hammer 3X
Turn 8370, Prize = Brush 1X
Turn 8371, Prize = Brush 1X
Turn 8372, Prize = Hammer 3X
Turn 8373, Prize = Brush 1X
Turn 8374, Prize = Life 30 min
Turn 8375, Prize = Hammer 1X
Turn 8376, Prize = Brush 1X
Turn 8377, Prize = Brush 1X
Turn 8378, Prize = Brush 3X
Turn 8379, Prize = Hammer 1X
Turn 8380, Prize = Brush 1X
Turn 8381, Prize = Hammer 1X
Turn 8382, Prize = Hammer 1X
Turn 8383, Prize = Life 30 min
Turn 8384, Prize = Gem 75
Turn 8385, Prize = Brush 1X
Turn 8386, Prize = Gem 75
Turn 8387, Prize = Life 30 min
Turn 8388, Prize = Life 30 min
Turn 8389, Prize = Brush 1X
Turn 8390, Prize = Brush 3X
Turn 8391, Prize = Hammer 3X
Turn 8392, Prize = Brush 1X
Turn 8393, Prize = Coin 750
Turn 8394, Prize = Life 30 min
Turn 8395, Prize = Gem 35
Turn 8396, Prize = Gem 35
Turn 8397, Prize = Hammer 3X
Turn 8398, Prize = Brush 1X
Turn 8399, Prize = Brush 1X
Turn 8400, Prize = Hammer 3X
Turn 8401, Prize = Brush 1X
Turn 8402, Prize = Coin 750
Turn 8403, Prize = Hammer 1X
Turn 8404, Prize = Brush 3X
Turn 8405, Prize = Gem 75
Turn 8406, Prize = Brush 3X
Turn 8407, Prize = Life 30 min
Turn 8408, Prize = Brush 3X
Turn 8409, Prize = Life 30 min
Turn 8410, Prize = Brush 1X
Turn 8411, Prize = Gem 75
Turn 8412, Prize = Brush 1X
Turn 8413, Prize = Coin 750
Turn 8414, Prize = Gem 35
Turn 8415, Prize = Life 30 min
Turn 8416, Prize = Hammer 3X
Turn 8417, Prize = Life 30 min
Turn 8418, Prize = Brush 1X
Turn 8419, Prize = Coin 750
Turn 8420, Prize = Brush 1X
Turn 8421, Prize = Hammer 3X
Turn 8422, Prize = Hammer 1X
Turn 8423, Prize = Hammer 1X
Turn 8424, Prize = Brush 1X
Turn 8425, Prize = Hammer 3X
Turn 8426, Prize = Hammer 3X
Turn 8427, Prize = Life 30 min
Turn 8428, Prize = Life 30 min
Turn 8429, Prize = Life 30 min
Turn 8430, Prize = Brush 1X
Turn 8431, Prize = Brush 1X
Turn 8432, Prize = Life 30 min
Turn 8433, Prize = Hammer 3X
Turn 8434, Prize = Hammer 1X
Turn 8435, Prize = Hammer 1X
Turn 8436, Prize = Life 30 min
Turn 8437, Prize = Brush 1X
Turn 8438, Prize = Life 30 min
Turn 8439, Prize = Hammer 1X
Turn 8440, Prize = Gem 35
Turn 8441, Prize = Gem 35
Turn 8442, Prize = Brush 1X
Turn 8443, Prize = Hammer 3X
Turn 8444, Prize = Life 30 min
Turn 8445, Prize = Gem 35
Turn 8446, Prize = Gem 35
Turn 8447, Prize = Hammer 1X
Turn 8448, Prize = Brush 1X
Turn 8449, Prize = Gem 35
Turn 8450, Prize = Gem 75
Turn 8451, Prize = Life 30 min
Turn 8452, Prize = Coin 750
Turn 8453, Prize = Gem 35
Turn 8454, Prize = Hammer 1X
Turn 8455, Prize = Gem 35
Turn 8456, Prize = Hammer 3X
Turn 8457, Prize = Hammer 1X
Turn 8458, Prize = Brush 3X
Turn 8459, Prize = Coin 750
Turn 8460, Prize = Life 30 min
Turn 8461, Prize = Brush 1X
Turn 8462, Prize = Brush 3X
Turn 8463, Prize = Gem 75
Turn 8464, Prize = Gem 35
Turn 8465, Prize = Brush 1X
Turn 8466, Prize = Brush 1X
Turn 8467, Prize = Brush 1X
Turn 8468, Prize = Hammer 1X
Turn 8469, Prize = Gem 35
Turn 8470, Prize = Life 30 min
Turn 8471, Prize = Hammer 1X
Turn 8472, Prize = Life 30 min
Turn 8473, Prize = Brush 1X
Turn 8474, Prize = Hammer 3X
Turn 8475, Prize = Brush 1X
Turn 8476, Prize = Hammer 1X
Turn 8477, Prize = Hammer 1X
Turn 8478, Prize = Gem 35
Turn 8479, Prize = Brush 1X
Turn 8480, Prize = Hammer 1X
Turn 8481, Prize = Hammer 1X
Turn 8482, Prize = Gem 75
Turn 8483, Prize = Hammer 3X
Turn 8484, Prize = Brush 1X
Turn 8485, Prize = Brush 1X
Turn 8486, Prize = Hammer 1X
Turn 8487, Prize = Hammer 3X
Turn 8488, Prize = Life 30 min
Turn 8489, Prize = Hammer 1X
Turn 8490, Prize = Hammer 1X
Turn 8491, Prize = Brush 3X
Turn 8492, Prize = Brush 3X
Turn 8493, Prize = Brush 3X
Turn 8494, Prize = Brush 1X
Turn 8495, Prize = Gem 35
Turn 8496, Prize = Coin 750
Turn 8497, Prize = Hammer 3X
Turn 8498, Prize = Hammer 1X
Turn 8499, Prize = Gem 35
Turn 8500, Prize = Brush 3X
Turn 8501, Prize = Coin 750
Turn 8502, Prize = Gem 75
Turn 8503, Prize = Life 30 min
Turn 8504, Prize = Life 30 min
Turn 8505, Prize = Hammer 1X
Turn 8506, Prize = Brush 1X
Turn 8507, Prize = Brush 1X
Turn 8508, Prize = Life 30 min
Turn 8509, Prize = Life 30 min
Turn 8510, Prize = Life 30 min
Turn 8511, Prize = Hammer 1X
Turn 8512, Prize = Brush 3X
Turn 8513, Prize = Hammer 1X
Turn 8514, Prize = Brush 3X
Turn 8515, Prize = Life 30 min
Turn 8516, Prize = Hammer 3X
Turn 8517, Prize = Hammer 1X
Turn 8518, Prize = Hammer 3X
Turn 8519, Prize = Brush 3X
Turn 8520, Prize = Hammer 1X
Turn 8521, Prize = Life 30 min
Turn 8522, Prize = Brush 3X
Turn 8523, Prize = Brush 1X
Turn 8524, Prize = Brush 1X
Turn 8525, Prize = Hammer 1X
Turn 8526, Prize = Hammer 3X
Turn 8527, Prize = Hammer 1X
Turn 8528, Prize = Hammer 1X
Turn 8529, Prize = Life 30 min
Turn 8530, Prize = Hammer 1X
Turn 8531, Prize = Hammer 3X
Turn 8532, Prize = Hammer 3X
Turn 8533, Prize = Brush 3X
Turn 8534, Prize = Gem 35
Turn 8535, Prize = Hammer 1X
Turn 8536, Prize = Brush 1X
Turn 8537, Prize = Brush 1X
Turn 8538, Prize = Coin 750
Turn 8539, Prize = Hammer 1X
Turn 8540, Prize = Life 30 min
Turn 8541, Prize = Brush 1X
Turn 8542, Prize = Hammer 1X
Turn 8543, Prize = Hammer 1X
Turn 8544, Prize = Hammer 3X
Turn 8545, Prize = Hammer 1X
Turn 8546, Prize = Hammer 1X
Turn 8547, Prize = Brush 1X
Turn 8548, Prize = Life 30 min
Turn 8549, Prize = Gem 75
Turn 8550, Prize = Gem 35
Turn 8551, Prize = Gem 35
Turn 8552, Prize = Brush 1X
Turn 8553, Prize = Brush 1X
Turn 8554, Prize = Life 30 min
Turn 8555, Prize = Gem 75
Turn 8556, Prize = Hammer 3X
Turn 8557, Prize = Brush 1X
Turn 8558, Prize = Gem 75
Turn 8559, Prize = Hammer 3X
Turn 8560, Prize = Life 30 min
Turn 8561, Prize = Hammer 1X
Turn 8562, Prize = Hammer 1X
Turn 8563, Prize = Brush 1X
Turn 8564, Prize = Brush 3X
Turn 8565, Prize = Hammer 1X
Turn 8566, Prize = Hammer 1X
Turn 8567, Prize = Life 30 min
Turn 8568, Prize = Hammer 1X
Turn 8569, Prize = Hammer 1X
Turn 8570, Prize = Gem 35
Turn 8571, Prize = Brush 1X
Turn 8572, Prize = Brush 3X
Turn 8573, Prize = Life 30 min
Turn 8574, Prize = Life 30 min
Turn 8575, Prize = Brush 1X
Turn 8576, Prize = Life 30 min
Turn 8577, Prize = Life 30 min
Turn 8578, Prize = Brush 1X
Turn 8579, Prize = Life 30 min
Turn 8580, Prize = Gem 75
Turn 8581, Prize = Gem 75
Turn 8582, Prize = Life 30 min
Turn 8583, Prize = Life 30 min
Turn 8584, Prize = Hammer 1X
Turn 8585, Prize = Life 30 min
Turn 8586, Prize = Brush 1X
Turn 8587, Prize = Hammer 1X
Turn 8588, Prize = Gem 35
Turn 8589, Prize = Hammer 3X
Turn 8590, Prize = Hammer 3X
Turn 8591, Prize = Coin 750
Turn 8592, Prize = Hammer 1X
Turn 8593, Prize = Hammer 1X
Turn 8594, Prize = Coin 750
Turn 8595, Prize = Life 30 min
Turn 8596, Prize = Brush 3X
Turn 8597, Prize = Hammer 3X
Turn 8598, Prize = Brush 1X
Turn 8599, Prize = Hammer 1X
Turn 8600, Prize = Life 30 min
Turn 8601, Prize = Brush 3X
Turn 8602, Prize = Hammer 1X
Turn 8603, Prize = Brush 1X
Turn 8604, Prize = Brush 3X
Turn 8605, Prize = Hammer 1X
Turn 8606, Prize = Life 30 min
Turn 8607, Prize = Brush 1X
Turn 8608, Prize = Brush 1X
Turn 8609, Prize = Gem 75
Turn 8610, Prize = Life 30 min
Turn 8611, Prize = Hammer 1X
Turn 8612, Prize = Coin 750
Turn 8613, Prize = Life 30 min
Turn 8614, Prize = Brush 1X
Turn 8615, Prize = Brush 1X
Turn 8616, Prize = Hammer 1X
Turn 8617, Prize = Life 30 min
Turn 8618, Prize = Coin 750
Turn 8619, Prize = Hammer 3X
Turn 8620, Prize = Hammer 3X
Turn 8621, Prize = Brush 1X
Turn 8622, Prize = Brush 3X
Turn 8623, Prize = Life 30 min
Turn 8624, Prize = Hammer 1X
Turn 8625, Prize = Brush 3X
Turn 8626, Prize = Hammer 3X
Turn 8627, Prize = Brush 1X
Turn 8628, Prize = Hammer 1X
Turn 8629, Prize = Life 30 min
Turn 8630, Prize = Hammer 1X
Turn 8631, Prize = Brush 1X
Turn 8632, Prize = Life 30 min
Turn 8633, Prize = Brush 1X
Turn 8634, Prize = Coin 750
Turn 8635, Prize = Hammer 3X
Turn 8636, Prize = Brush 1X
Turn 8637, Prize = Brush 3X
Turn 8638, Prize = Brush 1X
Turn 8639, Prize = Hammer 3X
Turn 8640, Prize = Hammer 1X
Turn 8641, Prize = Hammer 1X
Turn 8642, Prize = Hammer 1X
Turn 8643, Prize = Brush 1X
Turn 8644, Prize = Brush 3X
Turn 8645, Prize = Gem 35
Turn 8646, Prize = Life 30 min
Turn 8647, Prize = Gem 35
Turn 8648, Prize = Brush 1X
Turn 8649, Prize = Gem 35
Turn 8650, Prize = Brush 1X
Turn 8651, Prize = Life 30 min
Turn 8652, Prize = Coin 750
Turn 8653, Prize = Hammer 1X
Turn 8654, Prize = Brush 3X
Turn 8655, Prize = Hammer 3X
Turn 8656, Prize = Life 30 min
Turn 8657, Prize = Brush 1X
Turn 8658, Prize = Brush 1X
Turn 8659, Prize = Hammer 1X
Turn 8660, Prize = Life 30 min
Turn 8661, Prize = Hammer 3X
Turn 8662, Prize = Brush 1X
Turn 8663, Prize = Hammer 3X
Turn 8664, Prize = Hammer 3X
Turn 8665, Prize = Hammer 3X
Turn 8666, Prize = Hammer 3X
Turn 8667, Prize = Hammer 1X
Turn 8668, Prize = Coin 750
Turn 8669, Prize = Gem 75
Turn 8670, Prize = Brush 3X
Turn 8671, Prize = Brush 1X
